LF,Mean,RF,nSize,zKey
0.18766084748271508,0.19627284180150723,0.20488483612029937,133.0,12_12
0.1760498600875541,0.1879206899192332,0.19979151975091228,133.0,10_12
0.17384919691214995,0.18482428273652982,0.19579936856090968,133.0,11_12
0.17044415959208561,0.18458626311341145,0.19872836663473728,133.0,9_12
0.17199362465082785,0.18201537240207485,0.19203712015332186,133.0,12_11
0.16752579295930062,0.1803185601555121,0.19311132735172357,133.0,10_11
0.16873995665257746,0.17941696347113023,0.190093970289683,133.0,8_12
0.1634983462255486,0.17560764523493896,0.18771694424432933,133.0,11_11
0.16241932880947824,0.17549313511221828,0.18856694141495833,133.0,9_11
0.15801043108430854,0.1671669599233698,0.17632348876243106,133.0,8_11
0.15772957494178727,0.16654647419085633,0.1753633734399254,133.0,12_10
0.15434716770383058,0.16552706314812946,0.17670695859242833,133.0,10_10
0.15313971463970955,0.1630057512016653,0.17287178776362105,133.0,9_10
0.15361045750073693,0.16045642523641573,0.16730239297209454,133.0,8_10
0.14885809293583202,0.159472763801131,0.17008743466643,133.0,11_10
0.14597392780026647,0.15836115295287442,0.17074837810548238,133.0,7_11
0.1450894788243278,0.15592814314517783,0.16676680746602787,133.0,7_12
0.14099440270256275,0.1539491058556392,0.16690380900871565,133.0,6_12
0.14153550792062505,0.15249374462010887,0.16345198131959268,133.0,9_9
0.1391642651966899,0.14831657533305045,0.157468885469411,133.0,8_9
0.13794167252071224,0.14686492856641287,0.1557881846121135,133.0,10_9
0.13872625331458183,0.14631825307972188,0.15391025284486193,133.0,12_9
0.13247796400130687,0.14559374526771857,0.15870952653413026,133.0,6_11
0.1304704261213874,0.1437803031726429,0.1570901802238984,133.0,9_8
0.12768290376524236,0.1413970779126496,0.15511125206005685,133.0,7_10
0.12934897690096994,0.14071131083045996,0.15207364475994997,133.0,10_8
0.13223065332734657,0.1401252509998254,0.14801984867230422,133.0,11_9
0.12606837856437433,0.13696959320322283,0.14787080784207132,133.0,10_7
0.12493746533390576,0.13347404284111924,0.14201062034833273,133.0,11_7
0.1260424824616367,0.13337961623773664,0.14071675001383657,133.0,12_8
0.12197378399435767,0.1293815872032648,0.13678939041217192,133.0,12_7
0.12149264269419523,0.12924153979787398,0.13699043690155271,133.0,11_8
0.11186718481044015,0.12414371183719286,0.13642023886394558,133.0,9_7
0.11174900642424335,0.12114979177663752,0.1305505771290317,133.0,8_8
0.1062301896293419,0.12035064341652095,0.1344710972037,133.0,6_10
0.10986067999056306,0.11839289518187517,0.12692511037318727,133.0,12_6
0.10588947506276902,0.1153784228806346,0.12486737069850018,133.0,11_6
0.10033609210969,0.11226952181029302,0.12420295151089605,133.0,7_9
0.09811072997170966,0.10998205681981901,0.12185338366792836,133.0,10_6
0.08072967846022557,0.10700253090374102,0.13327538334725647,134.0,2_12
0.09577078745321893,0.10531684373883753,0.11486290002445612,133.0,8_7
0.09181616350767972,0.10510155414137934,0.11838694477507895,133.0,9_6
0.08270378709955124,0.09729576452164353,0.11188774194373581,133.0,6_9
0.07355400888774295,0.09671463174905776,0.11987525461037256,134.0,1_12
0.07555126586467861,0.09617707649313595,0.11680288712159329,134.0,1_11
0.08561389972237331,0.09514842213108926,0.10468294453980521,133.0,8_6
0.06912468550498854,0.09261411622810822,0.1161035469512279,134.0,2_11
0.06886966097905377,0.09183396881726938,0.11479827665548499,134.0,4_12
0.07449420232744611,0.09126014779944389,0.10802609327144166,133.0,5_12
0.07106851955636032,0.08951426495636994,0.10796001035637956,134.0,1_10
0.06705492557293467,0.0877565969971711,0.10845826842140753,134.0,2_10
0.07513343363500928,0.08693161264884673,0.09872979166268418,133.0,7_8
0.07479306789759682,0.08688520063382779,0.09897733337005876,133.0,7_7
0.06124115394553893,0.08585067547150224,0.11046019699746555,134.0,3_12
0.07577381837304123,0.08544632514074622,0.09511883190845122,133.0,12_5
0.06281543650945214,0.08192788108631122,0.1010403256631703,134.0,2_9
0.061307056745655494,0.07978194319748519,0.09825682964931488,134.0,1_9
0.06555114991387842,0.07922998771633782,0.09290882551879723,133.0,6_8
0.061285429175847034,0.07697828282922102,0.092671136482595,133.0,9_5
0.06238223219594066,0.07633388545614112,0.09028553871634157,133.0,10_5
0.06288115150547921,0.07540165669034014,0.08792216187520108,133.0,7_6
0.05761996630272162,0.07530548389812056,0.09299100149351949,133.0,5_11
0.05446075191485822,0.07351035647585938,0.09255996103686054,134.0,1_8
0.06266170324977643,0.0728320557009555,0.08300240815213455,133.0,11_5
0.04971041724101355,0.06959613101269632,0.0894818447843791,134.0,2_8
0.05336302186990981,0.06951604343350926,0.0856690649971087,134.0,1_7
0.046151982783650555,0.06919148996495567,0.09223099714626078,134.0,4_11
0.055994817219542095,0.06883551372045398,0.08167621022136586,133.0,6_7
0.048855301626217804,0.06734205022137424,0.08582879881653067,134.0,2_7
0.0541367470369521,0.06409978672379099,0.07406282641062988,133.0,8_5
0.03980078071926546,0.06297128685385844,0.08614179298845143,134.0,3_11
0.04811618980232493,0.06058336816177218,0.07305054652121942,133.0,6_6
0.047441286150435844,0.05839701271657751,0.06935273928271918,133.0,9_4
0.04210234147975903,0.058337765736700124,0.07457318999364121,134.0,1_6
0.048173339946880694,0.05685974431487724,0.06554614868287378,133.0,12_4
0.03788182762142234,0.054589255374681074,0.07129668312793981,134.0,2_6
0.03654379794017218,0.05402185067200067,0.07149990340382915,133.0,5_10
0.042209370641973054,0.05388038708240535,0.06555140352283764,133.0,10_4
0.04083298819052751,0.05259637725103622,0.06435976631154493,133.0,7_5
0.044926188674352434,0.05175990675440507,0.0585936248344577,133.0,8_4
0.031079578431029806,0.050859308556820935,0.07063903868261207,134.0,3_7
0.03313016534856974,0.04919504121054192,0.0652599170725141,134.0,1_5
0.03858269949467413,0.0487581676935054,0.05893363589233666,133.0,11_4
0.028083595196024547,0.0483103118406816,0.06853702848533866,134.0,4_10
0.02665203804969844,0.045836359433985265,0.06502068081827209,134.0,3_10
0.02959322939171983,0.045791180582888946,0.061989131774058064,134.0,2_5
0.02603378059855292,0.04576230234555731,0.0654908240925617,134.0,3_8
0.037907242988217724,0.045686951067357984,0.053466659146498244,133.0,9_3
0.02423808965391819,0.04295196731045311,0.06166584496698803,134.0,3_9
0.029059168095698886,0.042078515723892096,0.0550978633520853,133.0,6_5
0.021781531034418985,0.040347079309070596,0.058912627583722205,134.0,3_6
0.029409450918678484,0.039212069594547615,0.049014688270416745,133.0,7_4
0.02359809005847302,0.03915637248171126,0.054714654904949506,133.0,5_9
0.027920057221115523,0.03593243185750879,0.04394480649390205,133.0,10_3
0.023682574767612163,0.03546333664790772,0.04724409852820327,134.0,1_4
0.025573598371540225,0.03541299256912742,0.04525238676671462,134.0,1_3
0.024260518481509393,0.03421859703118802,0.044176675580866645,133.0,9_2
0.02647080097311364,0.03391607444385085,0.04136134791458806,133.0,8_3
0.026901701943139116,0.033749280441713755,0.040596858940288395,133.0,12_3
0.011853674811251321,0.03253924961428915,0.05322482441732697,134.0,4_7
0.011486446873493733,0.029763507194154843,0.04804056751481595,134.0,4_9
0.016706407239530777,0.02913448686885834,0.041562566498185904,134.0,2_4
0.013128554547716546,0.02912261925151852,0.045116683955320494,134.0,3_5
0.020078609800848496,0.02911981312489691,0.038161016448945324,134.0,2_3
0.008352906912171856,0.02865686403397203,0.0489608211557722,134.0,4_8
0.01395267964259789,0.028325493267313304,0.04269830689202872,133.0,5_7
0.018654097214630662,0.02803500001183489,0.03741590280903912,133.0,10_2
0.01735595083802477,0.02789310950368277,0.03843026816934077,134.0,1_2
0.019460307453243612,0.027663683815346903,0.03586706017745019,133.0,6_4
0.019317303486011406,0.02751907149756976,0.03572083950912811,133.0,11_3
0.018312566893401452,0.02664405224447647,0.03497553759555149,134.0,2_2
0.004532458393958157,0.025297323864662373,0.046062189335366585,134.0,4_6
0.015510583843054922,0.024475370564723018,0.03344015728639112,134.0,3_2
0.00914516342382308,0.022790473600013204,0.03643578377620333,133.0,5_8
0.009842550732187138,0.022250905241390458,0.03465925975059378,134.0,3_4
0.013067942411627554,0.02151369835914391,0.029959454306660267,133.0,12_2
0.010276768377673275,0.02051365868102156,0.030750548984369845,134.0,3_3
0.012751648285577302,0.01982494949918769,0.026898250712798076,133.0,8_2
0.0038220159705127446,0.01879013381703809,0.033758251663563436,133.0,5_6
0.009595982823065622,0.018386126450998203,0.027176270078930784,133.0,6_2
0.010719330180694637,0.018125833800823124,0.02553233742095161,133.0,7_3
0.00986945540462716,0.01723123416628937,0.024593012927951578,120.0,3_1
0.009009540974797614,0.016198083818367633,0.02338662666193765,133.0,10_1
0.006718183432281871,0.014646922550913892,0.022575661669545916,133.0,6_3
0.00526456682447991,0.013581286891982035,0.02189800695948416,133.0,11_2
0.004649551182443451,0.01281837326926512,0.02098719535608679,133.0,7_2
0.005864425723699992,0.012425533986786882,0.018986642249873772,134.0,2_1
0.004821014924175326,0.012338632079928778,0.01985624923568223,133.0,9_1
0.0024232340859426764,0.01149721672882101,0.020571199371699343,133.0,1_1
0.004928970796136651,0.01096309021326463,0.01699720963039261,133.0,11_1
0.0002779142020938258,0.006662342498565342,0.013046770795036858,133.0,12_1
-0.0016648791408154116,0.005649472002318076,0.012963823145451563,128.0,6_1
-0.002506361036293951,0.004966883072242523,0.012440127180778996,129.0,7_1
-0.006941899643569329,0.004809053763187481,0.01656000716994429,134.0,4_2
-0.015076854809975627,0.003870778133246574,0.022818411076468776,134.0,4_5
-0.002347564552487275,0.0035572197422985004,0.009462004037084276,129.0,8_1
-0.012336126438241885,0.0016899949099802704,0.015716116258202427,133.0,5_5
-0.006885777631313281,0.00038261277057849007,0.007651003172470261,132.0,4_1
-0.011221865128559385,-0.0006489097304709268,0.009924045667617532,133.0,5_2
-0.014574537082785992,-0.0012242349210493577,0.012126067240687276,134.0,4_3
-0.01200095466210599,-0.004550946878539966,0.002899060905026057,131.0,5_1
-0.020264172471393165,-0.005901812442768583,0.008460547585856,134.0,4_4
-0.018135668930712757,-0.007948582400225621,0.0022385041302615157,133.0,5_3
-0.0241211606550255,-0.012124769160288961,-0.00012837766555242117,133.0,5_4
